DATE,STATION,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TARGET
2005-01-01,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,28.0,20.0,45.0
2005-01-02,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,45.0,20.0,38.0
2005-01-03,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,38.0,18.0,43.0
2005-01-04,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,43.0,19.0,28.0
2005-01-05,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.02,1.7,2.0,28.0,3.0,15.0
2005-01-06,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.03,0.7,2.0,15.0,3.0,50.0
2005-01-07,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,1.0,50.0,8.0,38.0
2005-01-08,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,38.0,17.0,54.0
2005-01-09,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,54.0,31.0,64.0
2005-01-10,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,64.0,14.0,51.0
2005-01-11,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,51.0,27.0,42.0
2005-01-12,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.08,1.8,2.0,42.0,28.0,43.0
2005-01-13,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.05,1.2,3.0,43.0,17.0,48.0
2005-01-14,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,2.0,48.0,9.0,22.0
2005-01-15,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,2.0,22.0,13.0,20.0
2005-01-16,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,1.0,20.0,12.0,41.0
2005-01-17,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,41.0,11.0,53.0
2005-01-18,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,53.0,26.0,62.0
2005-01-19,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,62.0,31.0,70.0
2005-01-20,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,70.0,33.0,76.0
2005-01-21,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,76.0,33.0,59.0
2005-01-22,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,59.0,28.0,44.0
2005-01-23,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,44.0,25.0,74.0
2005-01-24,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,74.0,27.0,65.0
2005-01-25,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,65.0,29.0,63.0
2005-01-26,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,63.0,25.0,53.0
2005-01-27,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,53.0,27.0,51.0
2005-01-28,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,51.0,31.0,48.0
2005-01-29,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.0,0.0,0.0,48.0,28.0,42.0
2005-01-30,USC00052223,"DENVER WATER DEPARTMENT, CO US",0.05,0.0,0.0,42.0,28.0,39.0
