"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-01","7.61"," 1056"," 1002","0.00",,,"37","51","22","    0","  260","  250","21.0","29.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-02","5.14"," 0655"," 0654","0.00",,,"28","34","21","    0","  160","  160","14.1","15.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-03","4.47"," 1519"," 1520","0.00",,,"33","49","17","    0","   50","   50","14.1","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-04","7.16"," 1103"," 1103","0.00",,,"17","28","6","    0","  340","  340","19.9","21.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-05","3.80"," 0458"," 0249","0.00",,,"4","7","1","    0","   10","   20","8.9","10.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-06","6.04"," 0214"," 0208","0.18",,"2.0","22","41","3","    0","  150","  150","14.1","17.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-07","7.83"," 2226"," 2226","0.00",,"2.0","21","31","10","    0","  160","  150","23.0","25.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-08","16.11"," 1228"," 1221","0.00",,"1.0","31","48","13","    0","  230","  230","33.1","40.9",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-09","14.09"," 1202"," 1202","0.00",,,"48","59","37","    0","  240","  240","32.0","38.0",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-10","6.26"," 0225"," 1324","0.00",,,"40","55","25","    0","  180","  320","15.0","16.1",,,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2005-01-11","4.03"," 1611"," 1611","0.00",,,"34","41","26","    0","  340","  330","13.0","15.0",,,,,,,,,,
