"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-01","9.40"," 0010"," 1048","0.00",,,,"32","43","20","    0","  160","   20",,"16.1","17.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-02","5.59"," 0326"," 0325","0.00",,,,"27","33","20","    0","  170","  170",,"16.1","17.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-03","4.92"," 1519"," 1523","0.00",,,,"30","41","18","    0","   60","   60",,"13.0","14.1","    1","    1",,,,,,"    1",,,,"    1",,,,,,,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-04","8.50"," 1031"," 1031","0.02",,,,"16","26","5","    0","   20","   20",,"17.9","21.0","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-05","4.70"," 2348"," 0050","0.10",,,"1.0","2","6","-3","    0","  210","   30",,"10.1","12.1","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-06","8.05"," 2005"," 2004","0.00",,,"2.0","21","40","1",,"  310","  300",,"25.1","31.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-07","10.96"," 1122"," 2359","0.00",,,"2.0","17","28","6","    0","  110","  300",,"19.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-08","10.51"," 1244"," 1244","0.00",,,,"30","50","10","    0","  240","  240",,"23.0","29.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-09","11.41"," 1137"," 1137","0.00",,,,"46","60","31","    0","  250","  250",,"34.9","40.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-10","6.26"," 0145"," 1235","0.00",,,,"31","40","22","    0","  170","  310",,"15.0","16.1","    1","    1",,,,,,,,,,"    1",,,"    1",,,,,"    1"
