"STATION","NAME","DATE","DASF","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-01",,,"0.00","0.0","0.0",,"58","21","21",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-02",,,"0.00","0.0","0.0",,"45","19","20",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-03",,,"0.00","0.0","0.0",,"32","15","15",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-04",,,"0.00","0.0","0.0",,"42","15","24",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-05",,,"0.08","1.7","2.0",,"24","2","2",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-06",,,"0.11","2.0","3.0",,"6","0","0",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-07",,,"0.00","0.0","2.0",,"43","0","12",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-08",,,"0.00","0.0","2.0",,"28","9","11",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-09",,,"0.00","0.0","0.0",,"50","11","30",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-10",,,"0.00","0.0","0.0",,"62","26","26","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-11",,,"0.00","0.0","0.0",,"45","25","32","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-12",,,"0.03","0.3","0.0",,"37","30","30","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-13",,,"0.15","1.5","2.0",,"32","17","21","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-14",,,"0.00","0.0","2.0",,"45","4","4",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-15",,,"0.00","0.0","2.0",,"45","3","12",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-16",,,"0.00","0.0","1.0",,"45","8","13",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-17",,,"0.00","0.0","1.0",,"38","13","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-18",,,"0.00","0.0","0.0",,"50","13","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-19",,,"0.00","0.0","0.0",,"61","31","37",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-20",,,"0.00","0.0","0.0",,"67","31","40",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-21",,,"0.00","0.0","0.0",,"72","32","36",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-22",,,"0.00","0.0","0.0",,"61","29","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-23",,,"0.00","0.0","0.0",,"42","25","39",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-24",,,"0.00","0.0","0.0",,"69","30","32",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-25",,,"0.00","0.0","0.0",,"61","31","35",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-26",,,"0.00","0.0","0.0",,"59","24","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-27",,,"0.00","0.0","0.0",,"48","24","28",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-28",,,"0.00","0.0","0.0",,"49","28","30","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-29",,,"0.00","0.0","0.0",,"49","30","34",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-30",,,"0.06","0.0","0.0",,"44","30","31","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-01-31",,,"0.19","1.9","2.0",,"37","28","28","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-01",,,"0.00","0.0","1.0",,"38","19","21",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-02",,,"0.00","0.0","0.0",,"40","19","24",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-03",,,"0.00","0.0","0.0",,"49","24","28",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-04",,,"0.00","0.0","0.0",,"55","28","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-05",,,"0.00","0.0","0.0",,"59","29","37",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-06",,,"0.00","0.0","0.0",,"60","26","26",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-07",,,"0.00","0.0","0.0",,"39","25","26",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-08",,,"0.00","0.0","0.0",,"34","25","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-09",,,"0.00","0.0","0.0",,"36","18","18",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-10",,,"0.00","0.0","0.0",,"48","16","19",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-11",,,"0.00","0.0","0.0",,"55","17","24",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-12",,,"0.00","0.0","0.0",,"57","23","35",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-13",,,"0.00","0.0","0.0",,"58","32","34",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-14",,,"0.00","0.0","0.0",,"58","33","38",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-15",,,"0.00","0.0","0.0",,"62","23","27",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-16",,,"0.04","0.4","0.0",,"31","24","27",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-17",,,"0.01","0.1","0.0",,"30","19","21",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-18",,,"0.00","0.0","0.0",,"51","16","16",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-19",,,"0.00","0.0","0.0",,"43","16","24",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-20",,,"0.00","0.0","0.0",,"64","22","30",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-21",,,"0.00","0.0","0.0",,"58","26","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-22",,,"0.00","0.0","0.0",,"58","28","30",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-23",,,"0.00","0.0","0.0",,"48","25","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-24",,,"0.00","0.0","0.0",,"42","17","20",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-25",,,"0.00","0.0","0.0",,"50","20","24",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-26",,,"0.00","0.0","0.0",,"53","24","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-27",,,"0.00","0.0","0.0",,"52","25","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-02-28",,,"0.00","0.0","0.0",,"47","20","22",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-01",,,"0.00","0.0","0.0",,"47","22","27",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-02",,,"0.00","0.0","0.0",,"52","25","27",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-03",,,"0.00","0.0","0.0",,"54","26","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-04",,,"0.00","0.0","0.0",,"57","26","30",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-05",,,"0.00","0.0","0.0",,"60","29","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-06",,,"0.00","0.0","0.0",,"64","29","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-07",,,"0.00","0.0","0.0",,"66","33","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-08",,,"0.00","0.0","0.0",,"55","33","48",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-09",,,"0.01","0.1","0.0",,"50","28","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-10",,,"0.00","0.0","0.0",,"67","32","32",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-11",,,"0.00","0.0","0.0",,"50","26","28",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-12",,,"0.00","0.0","0.0",,"68","28","47",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-13",,,"0.21","3.1","2.0",,"67","26","26",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-14",,,"0.02","0.2","1.0",,"30","21","21",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-15",,,"0.03","0.3","0.0",,"31","18","18",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-16",,,"0.00","0.0","0.0",,"42","18","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-17",,,"0.00","0.0","0.0",,"52","25","39",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-18",,,"0.00","0.0","0.0",,"59","28","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-19",,,"0.00","0.0","0.0",,"45","23","23",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-20",,,"0.00","0.0","0.0",,"59","23","37",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-21",,,"0.30","0.1","0.0",,"59","32","36",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-22",,,"0.01","0.0","0.0",,"51","28","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-23",,,"0.00","0.0","0.0",,"53","28","31","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-24",,,"0.09","0.0","0.0",,"47","30","35","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-25",,,"0.03","0.3","0.0",,"36","24","24","    1",,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-26",,,"0.01","0.1","0.0",,"31","24","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-27",,,"0.01","0.1","0.0",,"41","29","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-28",,,"0.00","0.0","0.0",,"64","29","48",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-29",,,"0.00","0.0","0.0",,"72","41","41",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-30",,,"0.01","0.0","0.0",,"54","28","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-03-31",,,"0.03","0.3","0.0",,"54","31","32",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-01",,,"0.00","0.0","0.0",,"44","26","27",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-02",,,"0.00","0.0","0.0",,"64","27","40",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-03",,,"0.00","0.0","0.0",,"67","35","39",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-04",,,"0.00","0.0","0.0",,"74","35","39",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-05",,,"0.01","0.0","0.0",,"71","39","45",,,,,,"    1"
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-06",,,"0.03","0.0","0.0",,"53","32","32",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-07",,,"0.00","0.0","0.0",,"62","30","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-08",,,"0.00","0.0","0.0",,"74","31","55",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-09",,,"0.00","0.0","0.0",,"71","32","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-10",,,"0.24","1.8","0.0",,"65","31","32",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-11",,,"0.81","8.1","10.0",,"33","29","30",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-12",,,"0.00","0.0","4.0",,"44","27","29",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-13",,,"0.00","0.0","0.0",,"56","27","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-14",,,"0.00","0.0","0.0",,"64","33","44",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-15",,,"0.00","0.0","0.0",,"74","38","38",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-16",,,"0.00","0.0","0.0",,"52","34","35",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-17",,,"0.00","0.0","0.0",,"67","35","43",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-18",,,"0.00","0.0","0.0",,"72","42","42",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-19",,,"0.00","0.0","0.0",,"78","41","44",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-20",,,"0.00","0.0","0.0",,"66","41","41",,"    1",,"    1",,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-21",,,"0.53","0.0","0.0",,"51","36","37",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-22",,,"0.00","0.0","0.0",,"61","33","36",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-23",,,"0.00","0.0","0.0",,"57","36","41",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-24",,,"0.00","0.0","0.0",,"66","40","40",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-25",,,"0.35","0.0","0.0",,"48","39","41",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-26",,,"0.09","0.0","0.0",,"55","34","34",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-27",,,"0.00","0.0","0.0",,"61","33","39",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-28",,,"0.21","0.8","0.0",,"64","32","35",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-29",,,"0.07","0.4","0.0",,"37","25","25",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-04-30",,,"0.04","0.3","0.0",,"32","25","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-01",,,"0.13","1.1","0.0",,"44","25","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-02",,,"0.03","0.3","0.0",,"38","31","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-03",,,"0.00","0.0","0.0",,"51","31","31",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-04",,,"0.00","0.0","0.0",,"62","31","43",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-05",,,"0.00","0.0","0.0",,"68","38","42",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-06",,,"0.00","0.0","0.0",,"74","42","51",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-07",,,"0.03","0.0","0.0",,"76","45","47",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-08",,,"0.00","0.0","0.0",,"65","45","53",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-09",,,"0.00","0.0","0.0",,"69","38","38",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-10",,,"0.00","0.0","0.0",,"76","38","50",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-11",,,"0.06","0.0","0.0",,"81","46","46",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-12",,,"0.35","0.0","0.0",,"55","32","33",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-13",,,"0.00","0.0","0.0",,"60","33","44",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-14",,,"0.00","0.0","0.0",,"64","40","41",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-15",,,"0.00","0.0","0.0",,"66","41","44",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-16",,,"0.00","0.0","0.0",,"75","44","51",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-17",,,"0.00","0.0","0.0",,"80","51","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-18",,,"0.00","0.0","0.0",,"74","46","48",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-19",,,"0.00","0.0","0.0",,"78","48","52",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-20",,,"0.00","0.0","0.0",,"84","52","56",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-21",,,"0.00","0.0","0.0",,"92","56","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-22",,,"0.00","0.0","0.0",,"89","53","54",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-23",,,"0.00","0.0","0.0",,"89","54","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-24",,,"0.09","0.0","0.0",,"89","54","54",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-25",,,"0.04","0.0","0.0",,"84","48","48",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-26",,,"0.00","0.0","0.0",,"68","46","50",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-27",,,"0.00","0.0","0.0",,"66","46","47",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-28",,,"0.00","0.0","0.0",,"72","44","45",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-29",,,"0.00","0.0","0.0",,"79","45","47",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-30",,,"0.16","0.0","0.0",,"53","46","50",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-05-31",,,"0.13","0.0","0.0",,"60","42","42",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-01",,,"0.00","0.0","0.0",,"72","42","54",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-02",,,"0.00","0.0","0.0",,"84","50","51",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-03",,,"0.30","0.0","0.0",,"72","50","50",,"    1",,"    1",,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-04",,,"0.64","0.0","0.0",,"70","43","45",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-05",,,"0.54","0.0","0.0",,"58","44","47",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-06",,,"0.00","0.0","0.0",,"78","47","49",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-07",,,"0.00","0.0","0.0",,"86","49","53",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-08",,,"0.00","0.0","0.0",,"79","50","50",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-09",,,"0.00","0.0","0.0",,"80","48","48",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-10",,,"0.63","0.0","0.0",,"69","48","51",,"    1",,"    1",,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-11",,,"0.57","0.0","0.0",,"57","44","44",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-12",,,"0.17","0.0","0.0",,"71","44","51",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-13",,,"0.27","0.0","0.0",,"60","49","52",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-14",,,"0.00","0.0","0.0",,"72","43","46",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-15",,,"0.00","0.0","0.0",,"78","46","52",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-16",,,"0.00","0.0","0.0",,"84","51","54",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-17",,,"0.00","0.0","0.0",,"84","54","56",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-18",,,"0.00","0.0","0.0",,"88","56","57",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-19",,,"0.00","0.0","0.0",,"88","57","62",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-20",,,"0.00","0.0","0.0",,"89","62","64",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-21",,,"0.06","0.0","0.0",,"88","64","67",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-22",,,"0.00","0.0","0.0",,"90","57","60",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-23",,,"0.00","0.0","0.0",,"92","60","64",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-24",,,"0.00","0.0","0.0",,"87","57","59",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-25",,,"0.06","0.0","0.0",,"83","57","58",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-26",,,"0.00","0.0","0.0",,"87","58","62",,"    1",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-27",,,"0.05","0.0","0.0",,"88","53","55",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-28",,,"0.00","0.0","0.0",,"90","55","60",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-29",,,"0.00","0.0","0.0",,"92","56","58",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-06-30",,,"0.00","0.0","0.0",,"86","53","53",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-01",,,"0.00","0.0","0.0",,"87","53","56",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-02",,,"0.00","0.0","0.0",,"91","55","64",,,,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2005-07-03",,,"0.00","0.0","0.0",,"95","55","58",,,,,,
