"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-01",,,,"0.00","0.0","0.0","28","20","20",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-02",,,,"0.00","0.0","0.0","45","20","28",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-03",,,,"0.00","0.0","0.0","38","18","23",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-04",,,,"0.00","0.0","0.0","43","19","28",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-05",,,,"0.02","1.7","2.0","28","3","7",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-06",,,,"0.03","0.7","2.0","15","3","10",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-07",,,,"0.00","0.0","1.0","50","8","17",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-08",,,,"0.00","0.0","0.0","38","17","34",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-09",,,,"0.00","0.0","0.0","54","31","38",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-10",,,,"0.00","0.0","0.0","64","14","31",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-11",,,,"0.00","0.0","0.0","51","27","35",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-12",,,,"0.08","1.8","2.0","42","28","31",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-13",,,,"0.05","1.2","3.0","43","17","26",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-14",,,,"0.00","0.0","2.0","48","9","13",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-15",,,,"0.00","0.0","2.0","22","13","19",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-16",,,,"0.00","0.0","1.0","20","12","19",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-17",,,,"0.00","0.0","0.0","41","11","30",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-18",,,,"0.00","0.0","0.0","53","26","34",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-19",,,,"0.00","0.0","0.0","62","31","39",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-20",,,,"0.00","0.0","0.0","70","33","42",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-21",,,,"0.00","0.0","0.0","76","33","39",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-22",,,,"0.00","0.0","0.0","59","28","31",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-23",,,,"0.00","0.0","0.0","44","25","38",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-24",,,,"0.00","0.0","0.0","74","27","34",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-25",,,,"0.00","0.0","0.0","65","29","35",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-26",,,,"0.00","0.0","0.0","63","25","30",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-27",,,,"0.00","0.0","0.0","53","27","36",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-28",,,,"0.00","0.0","0.0","51","31","34",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-29",,,,"0.00","0.0","0.0","48","28","32",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-30",,,,"0.05","0.0","0.0","42","28","33",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-01-31",,,,"0.31","3.8","4.0","39","28","32",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-01",,,,"0.00","0.0","1.0","46","20","24",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-02",,,,"0.00","0.0","0.0","44","21","27",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-03",,,,"0.00","0.0","0.0","52","23","33",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-04",,,,"0.00","0.0","0.0","59","26","32",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-05",,,,"0.00","0.0","0.0","57","32","37",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-06",,,,"0.00","0.0","0.0","62","31","34",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-07",,,,"0.00","0.0","0.0","40","26","30",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-08",,,,"0.00","0.0","0.0","36","27","29",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-09",,,,"0.00","0.0","0.0","40","19","22",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-10",,,,"0.00","0.0","0.0","50","17","23",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-11",,,,"0.00","0.0","0.0","58","19","29",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-12",,,,"0.00","0.0","0.0","57","33","36",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-13",,,,"0.00","0.0","0.0","59","36","38",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-14",,,,"0.00","0.0","0.0","63","25","38",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-15",,,,"0.00","0.0","0.0","66","29","33",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-16",,,,"0.01","0.5","1.0","34","25","28",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-17",,,,"0.00","0.0","0.0","33","19","23",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-18",,,,"0.00","0.0","0.0","55","19","25",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-19",,,,"0.00","0.0","0.0","43","25","32",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-20",,,,"0.00","0.0","0.0","63","32","40",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-21",,,,"0.00","0.0","0.0","62","21","35",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-22",,,,"0.00","0.0","0.0","60","31","33",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-23",,,,"0.00","0.0","0.0","47","22","26",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-24",,,,"0.00","0.0","0.0","48","26","30",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-25",,,,"0.00","0.0","0.0","48","27","30",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-26",,,,"0.00","0.0","0.0","52","26","29",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-27",,,,"0.00","0.0","0.0","54","26","29",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-02-28",,,,"0.00","0.0","0.0","47","22","28",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-01",,,,"0.00","0.0",,"48","26","35",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-02",,,,"0.00","0.0","0.0","48","35","42",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-03",,,,"0.00","0.0","0.0","70","38","42",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-04",,,,"0.00","0.0","0.0","79","32","48",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-05",,,,"0.02","0.0","0.0","76","42","45",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-06",,,,"0.01","0.0","0.0","57","35","39",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-07",,,,"0.00","0.0","0.0","66","34","38",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-08",,,,"0.00","0.0","0.0","79","35","54",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-09",,,,"0.00","0.0","0.0","68","44","46",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-10",,,,"0.18","1.4","1.0","63","27","29",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-11",,,,"0.97","7.8","8.0","34","29","35",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-04-12",,,,"0.00","0.0","2.0","56","30","34",,,,,,
