,DATE,STATION,NAME,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,TARGET
0,2006-02-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.05,0.0,0.0,0.0,53.0,22.0,20.0,30.0,21.0,25.1,47.0
1,2006-02-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,47.0,23.0,310.0,310.0,25.9,30.0,44.0
2,2006-02-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,44.0,22.0,340.0,340.0,36.9,46.1,53.0
3,2006-02-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,53.0,16.0,140.0,140.0,21.0,23.9,46.0
4,2006-02-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",16.78,0.0,0.0,0.0,46.0,19.0,10.0,10.0,36.0,42.9,45.0
5,2006-02-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,45.0,17.0,220.0,110.0,15.0,17.0,51.0
6,2006-02-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.0,0.0,0.0,51.0,14.0,170.0,220.0,14.1,15.0,61.0
7,2006-02-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,61.0,23.0,280.0,330.0,16.1,19.9,57.0
8,2006-02-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",15.88,0.03,1.9,0.0,57.0,20.0,30.0,40.0,31.1,36.0,25.0
9,2006-02-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.02,0.2,2.0,25.0,9.0,10.0,360.0,25.9,32.0,35.0
10,2006-02-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6.93,0.0,0.0,2.0,35.0,5.0,300.0,300.0,14.1,16.1,53.0
11,2006-02-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.62,0.0,0.0,2.0,53.0,11.0,30.0,20.0,19.9,23.0,51.0
12,2006-02-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,51.0,24.0,210.0,210.0,17.0,21.0,60.0
13,2006-02-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,60.0,30.0,60.0,60.0,30.0,36.9,45.0
14,2006-02-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",16.11,0.05,0.5,0.0,45.0,20.0,160.0,170.0,30.0,34.9,21.0
15,2006-02-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.04,0.4,1.0,21.0,3.0,310.0,310.0,32.0,36.9,14.0
16,2006-02-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.74,0.01,0.0,1.0,14.0,-10.0,60.0,40.0,21.0,23.9,7.0
17,2006-02-18,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.14,0.0,0.0,1.0,7.0,-13.0,160.0,40.0,10.1,13.0,21.0
18,2006-02-19,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.59,0.0,0.0,1.0,21.0,-4.0,200.0,200.0,15.0,17.0,43.0
19,2006-02-20,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,43.0,6.0,300.0,300.0,28.0,32.0,42.0
20,2006-02-21,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.07,0.0,0.0,0.0,42.0,11.0,20.0,360.0,19.9,23.9,45.0
21,2006-02-22,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.84,0.0,0.0,0.0,45.0,13.0,280.0,270.0,23.9,32.0,54.0
22,2006-02-23,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,54.0,16.0,180.0,290.0,15.0,17.0,58.0
23,2006-02-24,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,58.0,24.0,80.0,80.0,19.9,23.9,47.0
24,2006-02-25,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.82,0.0,0.0,0.0,47.0,12.0,160.0,170.0,12.1,13.0,63.0
25,2006-02-26,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",9.4,0.0,0.0,0.0,63.0,24.0,230.0,230.0,17.9,21.0,73.0
26,2006-02-27,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.29,0.0,0.0,0.0,73.0,38.0,260.0,250.0,21.9,25.1,77.0
27,2006-02-28,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,77.0,44.0,200.0,190.0,23.0,25.9,59.0
28,2006-03-01,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",14.32,0.0,0.0,0.0,59.0,28.0,330.0,300.0,36.9,42.9,58.0
29,2006-03-02,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.86,0.0,0.0,0.0,58.0,22.0,170.0,170.0,23.9,29.1,67.0
30,2006-03-03,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.96,0.0,0.0,0.0,67.0,28.0,190.0,190.0,23.9,28.0,69.0
31,2006-03-04,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.0,0.0,0.0,69.0,32.0,220.0,240.0,29.1,34.9,64.0
32,2006-03-05,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,64.0,28.0,180.0,180.0,17.9,19.9,70.0
33,2006-03-06,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",10.51,0.0,0.0,0.0,70.0,34.0,180.0,190.0,23.0,28.0,66.0
34,2006-03-07,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.97,0.0,0.0,0.0,66.0,37.0,270.0,260.0,34.9,42.9,44.0
35,2006-03-08,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.2,1.6,0.0,44.0,27.0,40.0,30.0,19.9,23.0,47.0
36,2006-03-09,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",7.83,0.0,0.0,1.0,47.0,15.0,20.0,20.0,23.0,25.1,33.0
37,2006-03-10,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.72,0.0,0.0,0.0,33.0,22.0,310.0,40.0,17.0,19.9,40.0
38,2006-03-11,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.0,0.0,0.0,40.0,19.0,310.0,20.0,21.9,25.1,32.0
39,2006-03-12,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",11.18,0.03,1.3,0.0,32.0,21.0,350.0,340.0,21.0,23.9,38.0
40,2006-03-13,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5.82,0.0,0.0,1.0,38.0,14.0,310.0,310.0,17.9,23.0,53.0
41,2006-03-14,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.3,0.0,0.0,0.0,53.0,13.0,210.0,200.0,21.0,25.9,62.0
42,2006-03-15,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",18.79,0.0,0.0,0.0,62.0,28.0,290.0,290.0,42.9,51.9,53.0
43,2006-03-16,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",12.75,0.0,0.0,0.0,53.0,16.0,140.0,130.0,25.1,31.1,47.0
44,2006-03-17,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",8.95,0.0,0.0,0.0,47.0,23.0,300.0,310.0,16.1,17.9,52.0
