"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-01","11.41"," 1531"," 1530","0.00",,,"51","54","47",,"  270","  270","0.0","25.1","30.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-02","9.40"," 1510"," 1512","0.00",,,"48","55","40",,"  280","  280","0.0","23.0","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-03","4.70"," 1813"," 2223","0.00",,,"55","69","40",,"  270","  270","0.0","11.0","14.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-04","4.70"," 2250"," 2250","0.01",,,"59","55","45",,"  260","  270","0.0","11.0","14.1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-05","6.93"," 1610"," 1538","0.00",,,"63","59","44",,"  250","  260","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-06","3.58"," 1709"," 1709","0.00",,,"47","56","38",,"  260","  260","0.0","17.0","19.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-07","5.82"," 1622"," 1634","0.00",,,"49","56","42",,"  260","  270","0.0","21.0","25.1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-08","6.71"," 1626"," 1625","0.00",,,"53","57","48",,"  260","  260","0.0","17.9","19.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-09","10.29"," 1410"," 1410","0.00",,,"51","56","46",,"  260","  260","0.0","28.0","32.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-10","6.93"," 2236"," 2235","0.00",,,"54","59","49",,"  190","  190","0.0","17.0","21.9","    1",,,,,,,,,"    1",,,,,,,
